departamento,states_code,id,año,casos
CUNDINAMARCA,CUN,15,2020,1512
GUAINIA,GUA,16,2020,18
GUAVIARE,GUA,17,2020,41
HUILA,HUI,18,2020,750
LA GUAJIRA,GUA,19,2020,233
MAGDALENA,MAG,20,2020,486
META,MET,21,2020,608
NARIÑO,NAR,22,2020,1041
NORTE DE SANTANDER,NOR,23,2020,751
PUTUMAYO,PUT,24,2020,326
QUINDIO,QUI,25,2020,479
RISARALDA,RIS,26,2020,927
SAN ANDRES,SAN,27,2020,9
SANTANDER,SAN,28,2020,1088
SUCRE,SUC,29,2020,370
TOLIMA,TOL,30,2020,1134
VALLE DEL CAUCA,VAL,31,2020,2372
VAUPES,VAU,32,2020,42
VICHADA,VIC,33,2020,22
AMAZONAS,AMA,1,2021,63
ANTIOQUIA,ANT,2,2021,4482
ARAUCA,ARA,3,2021,158
ATLANTICO,ATL,4,2021,1483
SANTAFE DE BOGOTA D.C,BOG,5,2021,4562
BOLIVAR,BOL,6,2021,895
BOYACA,BOY,7,2021,785
CALDAS,CAL,8,2021,1063
CAQUETA,CAQ,9,2021,257
CASANARE,CAS,10,2021,290
CAUCA,CAU,11,2021,656
CESAR,CES,12,2021,510
CHOCO,CHO,13,2021,77
CORDOBA,COR,14,2021,934
CUNDINAMARCA,CUN,15,2021,1658
GUAINIA,GUA,16,2021,23
GUAVIARE,GUA,17,2021,56
HUILA,HUI,18,2021,785
LA GUAJIRA,GUA,19,2021,224
MAGDALENA,MAG,20,2021,546
META,MET,21,2021,701
NARIÑO,NAR,22,2021,1267
NORTE DE SANTANDER,NOR,23,2021,1000
PUTUMAYO,PUT,24,2021,308
QUINDIO,QUI,25,2021,565
RISARALDA,RIS,26,2021,1008
SAN ANDRES,SAN,27,2021,8
SANTANDER,SAN,28,2021,1301
SUCRE,SUC,29,2021,434
TOLIMA,TOL,30,2021,1146
VALLE DEL CAUCA,VAL,31,2021,2459
VAUPES,VAU,32,2021,44
VICHADA,VIC,33,2021,14
AMAZONAS,AMA,1,2022,75
ANTIOQUIA,ANT,2,2022,5615
ARAUCA,ARA,3,2022,176
ATLANTICO,ATL,4,2022,1861
SANTAFE DE BOGOTA D.C,BOG,5,2022,5737
BOLIVAR,BOL,6,2022,1115
BOYACA,BOY,7,2022,1157
CALDAS,CAL,8,2022,1253
CAQUETA,CAQ,9,2022,278
CASANARE,CAS,10,2022,297
CAUCA,CAU,11,2022,868
CESAR,CES,12,2022,566
CHOCO,CHO,13,2022,85
CORDOBA,COR,14,2022,1096
CUNDINAMARCA,CUN,15,2022,2507
GUAINIA,GUA,16,2022,37
GUAVIARE,GUA,17,2022,39
HUILA,HUI,18,2022,909
LA GUAJIRA,GUA,19,2022,238
MAGDALENA,MAG,20,2022,619
META,MET,21,2022,820
NARIÑO,NAR,22,2022,1568
NORTE DE SANTANDER,NOR,23,2022,1151
PUTUMAYO,PUT,24,2022,362
QUINDIO,QUI,25,2022,550
RISARALDA,RIS,26,2022,1351
SAN ANDRES,SAN,27,2022,26
SANTANDER,SAN,28,2022,1637
SUCRE,SUC,29,2022,493
TOLIMA,TOL,30,2022,1291
VALLE DEL CAUCA,VAL,31,2022,3437
VAUPES,VAU,32,2022,47
VICHADA,VIC,33,2022,33
AMAZONAS,AMA,1,2023,86
ANTIOQUIA,ANT,2,2023,6286
ARAUCA,ARA,3,2023,186
ATLANTICO,ATL,4,2023,2215
SANTAFE DE BOGOTA D.C,BOG,5,2023,6046
BOLIVAR,BOL,6,2023,1270
BOYACA,BOY,7,2023,1319
CALDAS,CAL,8,2023,1391
CAQUETA,CAQ,9,2023,296
CASANARE,CAS,10,2023,314
CAUCA,CAU,11,2023,1052
CESAR,CES,12,2023,642
CHOCO,CHO,13,2023,122
CORDOBA,COR,14,2023,1139
CUNDINAMARCA,CUN,15,2023,2683
GUAINIA,GUA,16,2023,31
GUAVIARE,GUA,17,2023,97
HUILA,HUI,18,2023,1006
LA GUAJIRA,GUA,19,2023,345
MAGDALENA,MAG,20,2023,718
META,MET,21,2023,763
NARIÑO,NAR,22,2023,1634
NORTE DE SANTANDER,NOR,23,2023,1203
PUTUMAYO,PUT,24,2023,356
QUINDIO,QUI,25,2023,572
RISARALDA,RIS,26,2023,1400
SAN ANDRES,SAN,27,2023,35
SANTANDER,SAN,28,2023,1900
SUCRE,SUC,29,2023,547
TOLIMA,TOL,30,2023,1269
VALLE DEL CAUCA,VAL,31,2023,3749
VAUPES,VAU,32,2023,111
VICHADA,VIC,33,2023,32
